ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence
1704292200256830410,1704292200256634317,0,1,17077,T,A,0,4764500000000,2,0,14329,8560007
1704292200259487588,1704292200259288449,0,1,17077,T,B,0,4764500000000,1,0,15540,8560015
1704292200272731791,1704292200272525953,0,1,17077,T,A,0,4764500000000,1,0,16500,8560055
1704292200272940967,1704292200272734521,0,1,17077,T,A,0,4764500000000,2,0,17595,8560062
1704292200275505651,1704292200275314509,0,1,17077,T,B,0,4764750000000,1,0,15562,8560072
1704292200276875761,1704292200276685883,0,1,17077,T,B,0,4764750000000,1,0,15370,8560074
1704292200279224816,1704292200279036525,0,1,17077,T,A,0,4764500000000,3,0,15619,8560080
1704292200279405143,1704292200279227827,0,1,17077,T,A,0,4764500000000,2,0,15414,8560083
1704292200279573596,1704292200279421967,0,1,17077,T,A,0,4764500000000,1,0,15221,8560086
1704292200290837563,1704292200290582719,0,1,17077,T,B,0,4764750000000,4,0,16525,8560106
1704292200300096465,1704292200299915983,0,1,17077,T,A,0,4764500000000,1,0,17164,8560147
1704292200302947127,1704292200302693953,0,1,17077,T,A,0,4764500000000,8,0,16048,8560150
1704292200332265465,1704292200332084071,0,1,17077,T,B,0,4764750000000,1,0,15438,8560172
1704292200344975373,1704292200344797053,0,1,17077,T,B,0,4764750000000,1,0,15433,8560197
1704292200361170259,1704292200360985447,0,1,17077,T,B,0,4764750000000,1,0,15346,8560221
1704292200369388800,1704292200369198851,0,1,17077,T,A,0,4764500000000,1,0,15632,8560236
1704292200386329372,1704292200386135823,0,1,17077,T,B,0,4764750000000,1,0,15673,8560252
1704292200444442281,1704292200444240805,0,1,17077,T,B,0,4764750000000,1,0,15368,8560293
1704292200450177314,1704292200449994411,0,1,17077,T,B,0,4764750000000,1,0,15533,8560305
1704292200471899960,1704292200471702513,0,1,17077,T,A,0,4764500000000,2,0,15628,8560312
1704292200485453439,1704292200485270983,0,1,17077,T,A,0,4764500000000,1,0,15516,8560325
1704292200500850302,1704292200500642629,0,1,17077,T,A,0,4764500000000,1,0,15496,8560337
1704292200504609307,1704292200504435191,0,1,17077,T,A,0,4764500000000,4,0,15293,8560344
1704292200506456572,1704292200506268293,0,1,17077,T,B,0,4764750000000,1,0,15339,8560346
1704292200514269002,1704292200514062435,0,1,17077,T,A,0,4764500000000,4,0,15444,8560358
1704292200520971869,1704292200520770355,0,1,17077,T,B,0,4764750000000,2,0,15568,8560374
1704292200542735426,1704292200542539563,0,1,17077,T,B,0,4764750000000,1,0,15494,8560397
1704292200554407408,1704292200554224469,0,1,17077,T,A,0,4764500000000,1,0,17335,8560410
1704292200587756462,1704292200587560037,0,1,17077,T,A,0,4764500000000,1,0,15717,8560417
